date,type,registration,operator,fat.,location,,pic,cat,
18605,Douglas C-47B (DC-3),F-BAXY,Air Atlas,5,near Col de l'Oui...,,,A1,France
18605,Curtiss C-46F,XT-44,Civil Air Transport,1,Yonpo Airfield,,,A1,North Korea
18606,Curtiss C-46F,XT-852,Civil Air Transport,3,Mount Fuji,,,A1,Japan
18607,Curtiss C-46D,XT-846,Civil Air Transport,0,Daegu (Taegu...,,,A2,South Korea
18609,PB2B-1 Catalina,NZ4048,New Zealand AF,7,"near Satapuala, U...",,,A1,Samoa
18609,Boeing B-17G,F-BDAT,IGN,4,near Niamey,,,A1,Niger
18610,Douglas DC-4-1009,HB-ILE,Swissair,0,Sydney Airpo...,,,A1,Canada
18610,Douglas C-47B (DC-3),VT-CFK,Air-India,21,near Kotagiri,,,A1,India
18610,Douglas C-47A (DC-3),PP-SPT,VASP,0+ 3,"Londrina, PR",,,A1,Brazil
18611,Douglas C-47B (DC-3),PP-SPW,VASP,1,Ribeirão Pre...,,,A1,Brazil
18612,Douglas C-47 (DC-3),YV-C-AVU,AVENSA,31,near Páramo Las S...,,,A1,Venezuela
18614,Curtiss C-46A,PP-LDD,Loide Aéreo Nacional,0,Campina Gran...,,,A1,Brazil
18615,Junkers Ju-52,328/F-RBEH,French AF,15,Tourane,,,A1,Vietnam
18615,Junkers Ju-52,384/F-RBDK,French AF,15,Tourane,,,A1,Vietnam
18616,Douglas C-54E (DC-4),44-9096,USAF,37,Mt. Tabayoc,,,A1,Philippines
18617,Handley Page Hastings C.1,TG574,RAF,5,Benghazi-Ben...,,,A1,Libya
18617,Douglas C-47A (DC-3),A65-66,RAAF,0,Kampong Aur,,,A1,Malaysia
18619,Douglas C-47A (DC-3),CF-CUF,Canadian Pacific,2,"near Penticton, BC",,,A1,Canada
18620,Lockheed P2V-3W Neptune,124357,US Navy,11,McCreight Mo...,,,A1,Canada
18621,Douglas C-47A (DC-3),43-15110,USAF,,near Montaltodi d...,,,A1,Italy
18624,Douglas C-47B (DC-3),44-76666,USAF,,,,,A1,South Korea
18624,Lisunov Li-2,CCCP-L4003,"Aeroflot, Uzbekistan",8,Mynzhilki,,,A1,Kazakhstan
18625,Consolidated PBY-5A Catalina,P-82,Dutch Navy,3,Serui,,,A1,Indonesia
18627,Douglas C-47A (DC-3),LV-ACH,Aerolineas Argentinas,14,"near Cobo, BA",,,A1,Argentina
18629,Douglas C-47A (DC-3),CB-31,LAB,,La Paz-El Al...,,,A1,Bolivia
18630,Douglas C-47 (DC-3),CF-ECN,McInnes Products,,Great Slave ...,,,A1,Canada
18632,Curtiss C-46D,N79982,Monarch Air Service,0,Chicago-Midw...,,,A1,USA
18632,Lockheed C-60 Lodestar,EC-ADZ,Spanish AF,2,Madrid-Baraj...,,,A1,Spain
18632,Douglas C-47A (DC-3),92617,Hellenic AF,0,Hoengseong A...,,,A1,South Korea
18636,Curtiss C-46D,44-78505,USAF,2,Chungju (K-4...,,,A1,South Korea
18636,Curtiss C-46D,44-78270,USAF,0,Chungju (K-4...,,,O1,South Korea
18636,Curtiss C-46D,44-78462,USAF,0,Chungju (K-4...,,,O1,South Korea
18637,Ilyushin Il-12P,CCCP-L1811,"Aeroflot, Moscow",8,near Tuapse,,,A1,Russia
18637,Lisunov Li-2,CCCP-L4359,"Aeroflot, West Siberia",6,near Kazan Airpor...,,,A1,Russia
18638,Douglas C-47B (DC-3),43-49384,USAF,0,"near Albuquerque, NM",,,A1,USA
18641,Douglas VC-47D (DC-3),VR-HEP,Air Carriers,10,near Sungei Padi,,,A1,Malaysia
18642,Douglas DC-4-1009,N74685,National Airlines,7,Philadelphia...,,,A1,USA
18644,Martin 2-0-2,N93054,Northwest Orient Airlines,10,"near Reardan, WA",,,A1,USA
18644,Douglas C-54D (DC-4),42-72495,USAF,4,near Taejon (K-5)...,,,A1,South Korea
18644,Douglas C-47B (DC-3),43-16287,USAF,,Goose Bay Ai...,,,A1,Canada
18646,Douglas DC-3,,TAM Peru,19,near Chala,,,A1,Peru
18648,Grumman SA-16A Albatross,49-083,USAF,,near Tsushima Air...,,,A1,Japan
18648,Fairchild C-82A Packet,45-57781,USAF,,Damascus-Mez...,,,A1,Syria
18649,Lockheed P2V-4 Neptune,124227,US Navy,1,near Okinawa-Naha...,,,A1,Japan
18651,Consolidated PBY-5A Catalina,N1493V,Dutch Navy,0,Papendrecht,,,A1,Netherlands
18651,Curtiss C-46D,44-78473,USAF,0,near Tachikawa Ai...,,,A1,Japan
18652,Curtiss C-46D,44-78029,USAF,0+ 1,Chungju (K-4...,,,A1,South Korea
18653,Douglas DC-3C,VH-MMK,MacRobertson Miller Airlines,0,Coolawanyah ...,,,A2,Australia
