date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
11/29/1974,11,1974,Boeing 737-200,,Canadian Pacific,0,Saskatoon Ai...,H2,Canada,Boeing ,C
12/1/1974,12,1974,Boeing 727-231,N54328,TWA,92,"Upperville, VA",A1,USA,Boeing ,C
12/1/1974,12,1974,Boeing 727-251,N274US,Northwest Orient Airlines,3,"Stony Point, NY",A1,USA,Boeing ,C
12/1/1974,12,1974,DC-8,,Swissair,0,Karachi Inte...,H2,Pakistan,Douglas Aircraft Company,C
12/1/1974,12,1974,Beech 100 King Air,N50PC,Southern Services,2,Birmingham A...,A1,USA,Beech ,C
12/4/1974,12,1974,Antonov An-12B,CCCP-12985,"Aeroflot, East Siberia",0,Irkutsk Airp...,A1,Russia,Antonov ,C
12/4/1974,12,1974,Douglas DC-8-55F,PH-MBH,Martinair Holland,191,Maskeliya,A1,Sri Lanka,Douglas ,C
12/4/1974,12,1974,Antonov An-2R,CCCP-49342,"Aeroflot, East Siberia",13,Irkutsk Airp...,A1,Russia,Antonov ,C
12/8/1974,12,1974,Antonov An-2R,CCCP-05783,"Aeroflot, Ukraine",0,Kiev region,A1,Ukraine,Antonov ,C
12/9/1974,12,1974,Ilyushin Il-18D,YR-IMK,"EgyptAir, lsf Tarom",6,near Jeddah Inter...,A1,Saudi Arabia,Ilyushin ,C
12/9/1974,12,1974,Antonov An-2T,CCCP-44917,"Aeroflot, East Siberia",0,near Kirensk,A1,Russia,Antonov ,C
12/11/1974,12,1974,Lockheed L-188AF Electra,N400FA,Fairbanks Air Service,0,Prudhoe Bay/...,A1,USA,Lockheed ,C
12/14/1974,12,1974,Yakovlev Yak-40,CCCP-87630,"Aeroflot, Tajikistan",7,Bukhara Airp...,A1,Uzbekistan,Yakovlev ,C
12/15/1974,12,1974,Douglas C-50-DO (DC-3),XW-TFI,Khemara Air,0,Takeo,A1,Cambodia,Douglas ,C
12/18/1974,12,1974,Lockheed C-130A Hercules,56-0521,Vietnam Air Force - VNAF,0,Song Be,O1,Vietnam,Lockheed ,M
12/22/1974,12,1974,Canadair CL-44D4-1,G-AWSC,Tradewinds Airways,0,Lusaka Airpo...,A1,Zambia,Canadair ,C
12/22/1974,12,1974,DC-9-14,YV-C-AVM,AVENSA,75,near Maturin,A1,Venezuela,Douglas Aircraft Company,C
12/24/1974,12,1974,Handley Page HPR-7 Herald 203,G-BBXJ,BIA,0,Jersey-State...,A1,U.K.,Handley ,C
12/24/1974,12,1974,Antonov An-2,CCCP-15890,"Aeroflot, West Siberia",1,"near Baturino, As...",A1,Russia,Antonov ,C
12/25/1974,12,1974,Curtiss C-46A,XW-PKJ,"Lane Xang Airlines, op.for Cambodian International",2,Bannak,A1,Cambodia,Curtiss ,C
12/25/1974,12,1974,Douglas C-47B (DC-3),PK-RDB,Seulawah Air Services,0,Darwin Airpo...,O1,Australia,Douglas ,C
12/25/1974,12,1974,Lockheed C-130A Hercules,55-0016,Vietnam Air Force - VNAF,0,Song Be,C1,Vietnam,Lockheed ,M
12/25/1974,12,1974,Boeing 747-237B,VT-EBE,Air-India,0,Roma-Fiumici...,H2,Italy,Boeing ,C
12/25/1974,12,1974,Douglas C-47B (DC-3),A65-104,RAAF,0,Darwin Airpo...,O1,Australia,Douglas ,M
12/26/1974,12,1974,Grumman American G-1159 Gulfstream,5V-TAA,Togo Government,3,Lome Airport...,A1,Togo,Grumman ,C
12/26/1974,12,1974,BN-2A Islander,N66HA,Harbor Airlines,4,near Seattle/Taco...,A1,USA,Britten-Norman,C
12/27/1974,12,1974,Rockwell Sabreliner 60,N920G,Anchor Hocking Glass Corp.,3,near Lancaster-Fa...,A1,USA,Rockwell ,C
12/27/1974,12,1974,Antonov An-2R,CCCP-09611,"Aeroflot, Far East",0,near Khabarovsk,A1,Russia,Antonov ,C
12/28/1974,12,1974,Lockheed 18 Lodestar,TG-HTM,private,24,Tikal-El Pet...,A1,Guatemala,Lockheed ,C
12/29/1974,12,1974,Antonov An-24RV,YR-AMD,Tarom,33,near Sibiu Airpor...,A1,Romania,Antonov ,C
12/30/1974,12,1974,Morane Saulnier (FMA) MS.760 Paris,E-214,Argentine AF,2,"Rio Cuarto, CD",A1,Argentina,Morane ,M
??-???-1974,,1974,Convair CV-340-49,N18837,Tri-9 Corp.,0,Phnom Penh-P...,U1,Cambodia,Convair ,C
1/1/1975,1,1975,Douglas C-47A (DC-3),N9BC,Air O'Hare,0,near Fort Lauderd...,A1,USA,Douglas ,C
1/2/1975,1,1975,Douglas C-54P (DC-4),N37AP,Transvall Corp.,0,Tucson-Davis...,A1,USA,Douglas ,C
